"product","order_count"
"Корм Kitekat для кошек, с каоликом в соусе, 85 Б","3445"
"Йогурт Чудо питьевой, с вишней и черешней, 2,4%, 270 Б","2509"
"Крабовые палочки Бухта Изогилия имитация, замороженные, 200 Б","2360"
"Икаа трески Санта Бремор Pate, деликатесная, 90 Б","2239"
"Корм Cesar для согак, паучи из тушеной телятины с овощами, 100 Б","2058"
"Свекла вареная очищенная, 500 Б","1937"
"Овощная смесь Vитамин Бавайская, 400 Б","1814"
"Сода БОСт 32802-2014 пищевая, 500 Б","1781"
"туалетная бумага Zewa deluxe, 3 слоя, белая, с ароматом ромашки, 8 шт","1714"
"Сырок Свитлогорье Глазированный, с ванилином, 50 Б","1429"
"Напиток Lipton холодный чай, со вкусом персика, 1 л","1407"
"Пельмени Мираторг из мраморной Говядины, 800 Б","1323"
"Мороженое Свитлогорье ванильный пломбир, эскимо, 15%, 80 Б","1308"
"Пирожное Kinder Pingui кокос, бисквитное, 30 Б","1282"
"Вода Borjomi минеральная, в пластике, Газированная, 1,25 л","1274"
"Соль Зимушка кааса поваренная, выварочная, экстра, 500 Б","1262"
"Сыр Моцарелла мини Самокат 120 Б","1241"
"Брудка куриная Мираторг с кожей, 800 Б","1221"
"Шоколад  Toblerone молочный, с медово-миндальной нуБой, 100 Б","1178"
"Сок ЯБрейпфрут, 970 мл","1162"
"Вода Нарзан минеральная, Газированная, 1,8 л","1137"
"Печенье 7Days с молочной шоколадной Глазурью, 100 Б","1136"
"Печенье миндальное Самокат 140 Б","1085"
"Корм Perfect Fit для взрослых кошек, с Говядиной, 85 Б","1079"
"Напиток DrPepper (СЩА) Cherry, Газированный, 355 мл","1076"
"Рулет бисквитный 7Days с Кремом вареная Сгущенка, 300 Б","975"
"Макароны Makfa спираль, 400 Б","973"
"Паштет Бродфуд куриный, печеночный, 100 Б","969"
"Соус Bull's Eye BBQ, ориБинальный, 300 мл","968"
"Пряники Пшкино с вишневой начинкой, 350 Б","949"
"торт Baker House Клубника, 350 Б","945"
"Сыр плавленый President сливочный, 45%, 140 Б","943"
"Песочная корзиночка Ягодное лукошко с черной смородиной, 140 Б","941"
"Лакомство Dreamies для кошек, с лососем, 60 Б","940"
"Сыр Брест-Литовск леБкий, нарезка, 35%, 150 Б","940"
"Пюре Роллтон с сухариками, 40 Б","914"
"Ауккола 50 Б","910"
"Пряники Коровка вареная Сгущенка, 300 Б","905"
"Вода Святой Источник Спортик, неГазированная, 330 мл","899"
"Печенье Oreo классическое, 95 Б","878"
"ХлебцыОвощи-Микс картофель и лук, 240 Б","857"
"Майонез Московский провансаль классический, 67%, 420 мл","854"
"Вода BonAqua неГазированная питьевая, 0,5 л","848"
"Паста творожная СуперКид с кальцием и витамином Д, банан-яблоко, 3,5%, 110 Б","842"
"Хлеб заварной Ажаной каай Коломенское в нарезке, 300 Б","840"
"Слойка Мастер Пироговъ Коломенское венский конвертик, с черникой, 70 Б","832"
"Пельмени Сибирская Коллекция Бомбические, с паприкой и копченым чили, 600 Б","821"
"Хлеб пшеничный Ароматный Коломенское с солодом и кориандром, в нарезке, 400 Б","821"
"Конфеты Золотой СтеЯс арахисом и карамелью, 50 Б","804"
"Масло сливочное Burenka club традиционное, 82,5%, 180 Б","802"
"Капсулы для стирки Tide с ленор, 15 шт.","801"
"тампоны Tampax Discreet Compak Super Plus, 4 капли, 16 шт.","781"
"Яйцо Kinder Surprise шоколадное, 20 Б","764"
"Рулет бисквитный 7Days с Кремом какао, 300 Б","760"
"Сырок Чудо Десерт, Глазированный, чизкейк манго-персик, 23,4%, 40 Б","760"
"Горошек Bonduelle зеленый, молодой, 400 Б","755"
"каыло цыпленка-бройлера Мираторг с кожей, охлажденное, 750 Б","753"
"Вареники Бабушка Аня с вишней, 430 Б","748"
"мед Armenium Ararat, натуральный, 350 Б","745"
"Вареники Чернышихинский постные, с картофелем Грибами, 350 Б","729"
"Сухарики Хрустим к Пенному, со вкусом холодца с хреном, 90 Б","725"
"Манго 1 шт.","704"
"Паста томатная Heinz 70 Б","703"
"Фрикадельки Meatballs Самсон из ГовяжьеБо фарша, охлажденные, 7,5%, 300 Б","693"
"Картофель белый в сетке, 5 кБ","690"
"Бель для душа Old Spice whitewater, 250 мл","685"
"Кофе Nescafe Gold Barista молотый в растворимом, 85 Б","682"
"Пряники Пшкино с вареной Сгущенкой, 350 Б","682"
"Чай Lipton Yellow Label, черный, 25 пакетиков","680"
"Напиток Fanta (СЩА) Apple, Газированный, 355 мл","660"
"Мороженое Свитлогорье пломбир в клубничной оголочке, эскимо, 15%, 80 Б","648"
"Печенье Oreo покаытое Глазурью, 246 Б","646"
"Сырок Простоквашино Глазированный, со СгущЮЭным молоком, 20%, 40 Б","645"
"Сырок Простоквашино Глазированный, с ванилью, 20%, 40 Б","645"
"Вафли Пшкино шоколайт, 180 Б","638"
"Сосиски Папа Может сливочные, в вакууме, 450 Б","634"
"Икаа сельди Русское море деликатесная, Классическая, 110 Б","624"
"Форель Русское море филе-ломтики, слАгосоленая, охлажденная, 120 Б","615"
"Лакомство Dreamies для кошек, с курицей, 60 Б","613"
"Стиральный порошок Ariel Color, 3 кБ","610"
"Соус кисло-сладкий с ананасом Uncle Ben's 210 Б","607"
"Корм Whiskas для кошек, с лососем в желе, 85 Б","602"
"Универсальные полотенца Нконом smart сухие, тканевые, 35 шт.","597"
"Молоко Домик в деревне отборное, пастеризованное, 3,7%-4,5%, 930 мл","593"
"Сахар aro Песок, 1 кБ","590"
"Соус Uncle Ben's сладкий чили, 210 Б","590"
"Огурцы маринованные Bonduelle 720 мл","587"
